Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Business Analysis & Scrum 4 Business analyst & Product Owner,www.udemy.com/course/business-analysis-for-everyone/,"Akhilendra Singh MBA, CBAP, CSPO, PSM1",199.99,11.39,4.2(741 ratings),Business,Data & Analytics,Business Analysis,"4,407",English,"Learn Business Analysis & Scrum Agile-BRD, Scrum concepts like product owner role, scrum master. Be a business analyst.",10/2019,12/29/19
The Complete Business Analysis Course for Absolute Beginners,www.udemy.com/course/the-complete-business-analysis-course-for-absolute-beginners/,Online Courses Institute,19.99,11.39,4.6(172 ratings),Business,Data & Analytics,Business Analysis,"2,279",English,"Learn Business Analysis, SDLC, Roles, Types of Business Analysis , JAD Session, Requirement Gathering Techniques & more",11/2019,12/29/19
Advanced Object Oriented Analysis of Hard Problems using UML,www.udemy.com/course/advanced-object-oriented-analysis-of-hard-problems/,Per Emanuelsson,194.99,11.39,4.1(530 ratings),Development,Software Engineering,Software Architecture,"6,125",English,Take your software and business analysis skills to completely new levels with advanced UML conceptual modelling.,11/2017,12/29/19
Certified Business Analysis Professional (CBAP) Exam Prep,www.udemy.com/course/certified-business-analysis-professional-cbap-exam-prep/,Swati Swani,0.0,149.99,4.2(53 ratings),Teaching & Academics,Test Prep,Business Analysis,119,English,Level 3 - Certified Business Analysis Professional (CBAP) Exam Prep,10/2017,12/29/19
Business Process Modelling with UML Activity Diagrams & BPMN,www.udemy.com/course/business-analysis-modelling-business-processes/,Transforming Ninja,149.99,11.39,4.3(134 ratings),Business,Project Management,Business Analysis,797,English,Become an expert in Modelling Business Processes with Business Analysis Techniques and UML Activity Diagrams & BPMN,3/2018,12/29/19
IQBBA Certified Foundation Level Business Analyst (CFLBA),www.udemy.com/course/iqbba-certified-foundation-level-business-analyst-cflba/,Maged Koshty,149.99,11.39,4.1(430 ratings),IT & Software,IT Certification,Business Analysis,"2,242",English,Be an IQBBA certified business analyst and Learn the basics of Software Business Analysis and Requirements Engineering,3/2018,12/29/19
Process Capability Analysis,www.udemy.com/course/process-capability-analysis/,Ray Harkins,84.99,11.39,4.5(138 ratings),Business,Operations,Business Analysis,654,English,A Powerful Tool Set for Understanding your Manufacturing Process,11/2019,12/29/19
IIBA CBAP CCBA ECBA Business Analysis Certification - Part 1,www.udemy.com/course/iiba-cbap-ccba-ecba-business-analysis-certification-part-1/,"Trividh Patel, CBAP",54.99,11.39,4.2(330 ratings),Teaching & Academics,Test Prep,Business Analysis,"1,061",English,Learn business analysis key concepts and underlying competencies as per IIBA BABOK Guide version 3.0,12/2019,12/29/19
BCS Foundation Certificate in Business Analysis (ISEB) exams,www.udemy.com/course/bcs-foundation-certificate-in-business-analysis-iseb-exams/,Brandi Chastain,24.99,11.39,4.1(41 ratings),Business,Management,Business Analysis,194,English,Pass the BCS certification on the first attempt. 175 questions,3/2019,12/29/19
Full Business Analysis Study Guide,www.udemy.com/course/business-analysis-study-guide/,Igor Arkhipov,49.99,11.39,4.4(49 ratings),Business,Strategy,Business Analysis,"1,261",English,Sharpen your BA skills for a better career and get prepared for a CBAPÂ® or CCBAÂ® exam!,9/2019,12/29/19
