Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update
Projects in PHP and MySQL,www.udemy.com/course/the-complete-web-development-course-learn-by-building-apps/,Eduonix Learning Solutions,59.99,11.39,4.2(888 ratings),Development,Web Development,MySQL,"12,074",English,Master PHP-MySQL by Building 10 Projects,12/2018
Modern Multi Vendors E-Commerce Store In PHP,www.udemy.com/course/modern-e-commerce-store-in-php-mysqli-with-bootstrap/,Mohammad Tahir Ahmed,99.99,11.39,4.1(364 ratings),Development,Web Development,Bootstrap,"1,876",English,Learn to make modern E-Commerce Store In php&mysqli with bootstrap with its complete functionalities in a single course.,4/2019
"PHP for Beginners 2019 Part 2: PDO, MySQL, phpMyAdmin",www.udemy.com/course/php-and-mysql-for-beginners/,Patrick at Coding.Academy,44.99,11.39,4.6(128 ratings),Development,Web Development,PHP,888,English,"Every line of code explained. Learn PHP, PDO, MySQL & phpMyAdmin to create data driven websites. Award winning teacher.",8/2019
"Create a High End Social Network Twitter Clone In PHP, MySQL",www.udemy.com/course/create-a-high-end-social-network-like-twitter-in-php-mysql/,Aizaz dinho,44.99,11.39,4.5(229 ratings),Development,Web Development,PHP,"1,311",English,"Learn PHP, OOP and MySQL even JQuery by building your own Social Networking Website a complate Step by Step walkthrough",9/2019
PHP: Complete Login and Registration System with PHP & MYSQL,www.udemy.com/course/user-authentication-code-a-simple-login-system-with-php/,Terry Ogbemudia Osayawe,99.99,11.39,4.5(494 ratings),Development,Web Development,PHP,"12,601",English,Build a Complete & Secure PHP Login and Registration System with PHP and MySQL - Email Activation and lots more,12/2018
Complete PHP OOP Tutorials for Absolute Beginners + Projects,www.udemy.com/course/complete-php-oop-tutorials-for-absolute-beginners-projects/,Srinivas Vanamala,199.99,11.39,4.7(85 ratings),Development,Web Development,Object Oriented Programming,"9,443",English,Learn PHP OOP from Scratch: Object Oriented Programming Concepts with Examples and Projects. Learn PHP OOPS Guaranteed!,12/2019
OOP Object Oriented Programming In PHP 7,www.udemy.com/course/oop-object-oriented-programming-in-php-7/,Saira Sadiq,99.99,11.39,4.2(436 ratings),Development,Programming Languages,Object Oriented Programming,"4,827",English,Learn advanced object oriented programming with simple code examples. This Course includes almost all OOP PHP7 topics.,4/2019
PHP OOP Complete Ecommerce Project Course - 4 Courses in 1,www.udemy.com/course/php-complete-ecommerce-project/,Kazi Ariyan,199.99,11.39,4.2(67 ratings),Development,E-Commerce,Object Oriented Programming,427,English,"OOP PHP Masterclass. Learn OOP , Mysql Database, Array Fundamentals and How to Create Professional Ecommerce Project",8/2019
"PHP registration, login and content management system",www.udemy.com/course/php-registration-login-and-content-management-system/,Michael Miller,99.99,25.00,4.9(74 ratings),IT & Software,Network & Security,PHP,396,English,Controlling access to your web pages and data,11/2019
Learn Top Ten PHP FrameWorks By Building Projects,www.udemy.com/course/learn-top-ten-php-frameworks-by-building-projects/,Eduonix Learning Solutions,59.99,11.39,4.4(166 ratings),Development,Web Development,PHP,"1,541",English,An unique course which covers the ten most popular PHP frameworks and help you learn them by building projects,12/2018
Full PHP & Swift. Create iOS Social App on Custom Backend,www.udemy.com/course/swift-php-mysql-html/,Akhmed Idigov,199.99,11.39,4.5(443 ratings),Development,Mobile Apps,PHP,"2,317",English,"Learn to Create iOS Social App on Swift, Xcode & PHP, MySQL, HTML on Custom backend. Learn multi languages at one time",3/2019
Complete PHP Course With Bootstrap3 CMS System & Admin Panel,www.udemy.com/course/complete-php-course/,Joe Parys,199.99,11.39,"4.5(1,468 ratings)",Development,Web Development,CMS,"55,950",English,In this complete course students will learn how to use PHP with Bootstrap3 as well as A CMS System and Admin Panel,6/2017
Sending email with PHP: from Basic to Advanced,www.udemy.com/course/php-email/,Dave Hollingworth,39.99,11.39,4.7(137 ratings),Development,Web Development,PHP,968,English,"Learn how to send emails from your PHP website, including best practices.",2/2018
Zend Framework 2: Learn the PHP framework ZF2 from scratch,www.udemy.com/course/zend-framework-2-from-beginner-to-professional/,Bo Andersen,39.99,11.39,3.9(260 ratings),Development,Web Development,PHP,"1,374",English,Learn how to code and become a professional web developer with the PHP framework ZF2 in just a few hours.,11/2015
"Build E-commerce website with PHP, MySQL, jQuery and PayPal",www.udemy.com/course/ecommerce-website/,Sebastian Sulinski,0.0,19.99,4.1(132 ratings),Development,Web Development,PHP,"1,017",English,"Learn how to build a fully functional E-commerce website with Object Oriented PHP, MySQL, jQuery and PayPal.",4/2012
Building E-Commerce Shopping Cart Website in PHP & MySQL,www.udemy.com/course/e-commerce-shopping-cart-website-in-php-mysql/,Vivek Vengala,199.99,11.39,3.8(114 ratings),Development,Web Development,MySQL,"5,963",English,Creating E-commerce Shopping Cart Website from scratch in PHP & MySQL,6/2018
Certified Secure Coder- PHP (CSC- PHP),www.udemy.com/course/hacking-securing-php/,Cyber Security & Privacy Foundation Pte Ltd,19.99,11.99,3.9(101 ratings),IT & Software,Network & Security,PHP,"1,285",English,This course teaches how to hack and secure PHP. Owasp top10(A1 to A10) for PHP.,1/2015
Learn Advanced PHP Programming,www.udemy.com/course/learn-advanced-php-programming/,Simon Sez IT,74.99,11.39,3.9(181 ratings),Development,Programming Languages,PHP,"1,415",English,Are you ready to take your web dev skills to the next level? Includes 6 hours of training with exercise files.,6/2018
SOLID Principles in PHP : Learn how to write better code,www.udemy.com/course/solid-principles-decoded/,Ali Shah,129.99,11.39,4.5(9 ratings),Development,Software Engineering,Object Oriented Design,75,English,"Software Architecture: Learn how to create modular, maintainable and scalable software by mastering SOLID principles",9/2019
