Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learn to Fully Charge Your Work & Life by Tom Rath,www.udemy.com/course/learn-to-fully-charge-your-work-life-by-tom-rath/,Tom Rath,99.99,11.39,4.6(144 ratings),Personal Development,Happiness,Personal Development,"1,733",English,"Learn the keys to leading your best, fully-charged life from Tom Rath, the best-selling author of StrengthsFinder.",12/2015,12/31/19
Unleash your talent to parent,www.udemy.com/course/unleash-your-talent-to-parent/,Meindert van Wensen,24.99,11.39,4.3(9 ratings),Personal Development,Parenting & Relationships,Parenting,53,English,"The Journey of a Fellow Parent, a Dad of Two. He Transformed his Parenting Style 180 degrees",9/2019,12/31/19
Change or transform blocking beliefs with intuitive drawing,www.udemy.com/course/change-transform-blocks-beliefs-resistance-with-neurography-cocaching/,Michelle Amecke,29.99,11.39,3.8(13 ratings),Personal Development,Creativity,Personal Development,80,English,Coaching session with NEUROGRAPHIC / blocking beliefs and inner conflicts,1/2018,12/31/19
Personal Development Course: Compilation of Best Strategies,www.udemy.com/course/personal-development-course-compilation-of-best-strategies/,Jimmy Naraine,129.99,11.39,4.4(19 ratings),Personal Development,Personal Transformation,Personal Development,"3,255",English,"Learn most powerful strategies to develop a positive mindset, build confidence, boost productivity and be more happy",11/2019,12/31/19
Spiritual Manifestation II: Chit Shakti (Peace) Meditation,www.udemy.com/course/chit-shakti-peace/,Sadhguru Jaggi Vasudev,24.99,11.39,4.5(10 ratings),Personal Development,Personal Transformation,Meditation,"1,197",English,A Powerful Yogic Law of Attraction Meditation technique to harness the creative power of your mind to manifest peace,7/2019,12/31/19
Practical Mentalism,www.udemy.com/course/practical-mentalism-transformation/,Cedenheim Publishing,19.99,11.39,4.0(1 rating),Personal Development,Personal Transformation,Personal Development,7,English,"Choose to open your eyes, we do things the same way as the people we hang out with",10/2019,12/31/19
Building a Mastermind Group,www.udemy.com/course/building-a-mastermind-group/,Mike Pagan,199.99,11.39,4.3(8 ratings),Personal Development,Personal Transformation,Personal Development,"1,412",English,Mastermind groups removing isolation and providing the most peowrful support network,2/2019,12/31/19
Revamp your belief system to overcome limiting beliefs,www.udemy.com/course/revamp-your-belief-system-to-overcome-limiting-beliefs/,Rohit Sethi,99.99,11.39,3.8(280 ratings),Personal Development,Personal Transformation,Motivation,"2,157",English,Beliefs are the ultimate truth. Identify limiting beliefs and adopt empowering ones. Leverage power of 'The Shift'.,9/2017,12/31/19
"GROWTH MINDSET: Skills For Teaching, Parenting, and Life",www.udemy.com/course/growth_mindset/,"Joshua Stern, Ph.D.",19.99,11.39,4.8(3 ratings),Personal Development,Personal Transformation,Personal Development,15,English,Having a growth mindset means that you can always learn and improve. You just need to believe it is possible!,11/2018,12/31/19
Lifting Your Limits For Leaders,www.udemy.com/course/lifting-your-limits-for-leaders/,Anita Mountain,0.0,54.99,4.8(3 ratings),Business,Other,Leadership,33,English,or how to dump your baggage so you can fly!,6/2018,12/31/19
Personal Mastery: The Psychology of Happiness & Fulfilment,www.udemy.com/course/secrets-to-personal-mastery/,Dr Alan Fayter,84.99,11.39,4.2(14 ratings),Personal Development,Personal Transformation,Personal Development,68,English,Practical Neuro-Linguistic Programming and Positive Psychology techniques for Personal Productivity and Success,7/2017,12/31/19
