Course,URL,instructor,Price (full),Price (discount),Rank
"""Breath is Life"" Breathing & Meditation course",www.udemy.com/course/breathing/,Michaël Bijker,"руб.19,799",руб.879,Rating: 4.7 out of 54.7 - (351)
Internationally Accredited Diploma Certificate in Fitness,www.udemy.com/course/internationally-accredited-diploma-certificate-in-fitness/,"Akash Sehrawat, Fabulous Body, Teaching Assistant","руб.19,799",руб.879,"Rating: 4.4 out of 54.4 - (1,132)"
Become a SuperHuman: Naturally & Safely Boost Testosterone,www.udemy.com/course/become-a-superhuman-naturally-safely-boost-testosterone/,"Jonathan Levi, SuperHuman Academy®",$149.99,$10.99,"Rating: 4.3 out of 54.3 - (3,903)"
Learn Close Combat Training: Military Hand-To-Hand Combat,www.udemy.com/course/closecombattraining/,Chris Pizzo,$99.99,$10.99,"Rating: 4.4 out of 54.4 - (1,403)"
Cook Real Food: How to Make Simple Plant-Based Meals,www.udemy.com/course/cook-real-food/,Evita Ochel,$99.99,$10.99,Rating: 4.6 out of 54.6 - (243)
Learn Meditation with Certification to Guide Others,www.udemy.com/course/learn-to-meditate/,Melissa Crowhurst,$104.99,$10.99,"Rating: 4.6 out of 54.6 - (1,285)"
Ketogenic Diet Ketosis Nutrition Health Coach Certification,www.udemy.com/course/ketogenic-diet-ketosis-nutrition-health-coach-certification/,Sanda Kruger,$199.99,$10.99,Rating: 4.3 out of 54.3 - (773)
Sounds True Presents: The Yoga of Awakening,www.udemy.com/course/seane-corn/,"Sounds True, Seane Corn",$199.99,$50.00,"Rating: 4.9 out of 54.9 - (2,274)"
Awakening - A complete meditation and mind training course,www.udemy.com/course/meditation-course/,Michaël Bijker,$199.99,$10.99,Rating: 4.8 out of 54.8 - (50)
REBT Mindset Life Coach Certification  (Accredited),www.udemy.com/course/rebt-mindset-life-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™",$199.99,$10.99,Rating: 4.6 out of 54.6 - (482)
Pilates Teacher Training Course,www.udemy.com/course/pilates-teacher-training-course/,Josie McKenlay,$199.99,$10.99,Rating: 4.6 out of 54.6 - (538)
Clinical Aromatherapy For Health Certificate Course (4 CEU),www.udemy.com/course/aromatherapy-how-to-use-essential-oils-therapeutically/,Mark Perren-Jones,$199.99,$10.99,Rating: 4.7 out of 54.7 - (363)
Science-Based Bodyweight Workout: Build Muscle Without A Gym,www.udemy.com/course/build-muscle-without-a-gym-science-based-bodyweight-workout/,Felix Harder,$79.99,$10.99,Rating: 4.5 out of 54.5 - (713)
Thai Massage Certificate Course (4 CEU),www.udemy.com/course/thai-massage-masterclass/,Mark Perren-Jones,$194.99,$10.99,Rating: 4.6 out of 54.6 - (610)
Shuffle Dance Master Class Vol 1. | How to Shuffle Dance,www.udemy.com/course/how-to-shuffle-dance-tutorial/,Brian Bee,$49.99,$10.99,Rating: 4.6 out of 54.6 - (537)
ADHD Focusing & Motivation Strategies... That Actually Work!,www.udemy.com/course/adhd-focus-motivation-course/,"Professor Alina Kislenko MA, RP",$59.99,$10.99,Rating: 4.4 out of 54.4 - (265)
Gua Sha- Tool Assisted Massage Technique Certificate Course,www.udemy.com/course/gua-sha-an-ancient-tool-assisted-massage-technique-for-pain/,Mark Perren-Jones,$199.99,$10.99,Rating: 4.7 out of 54.7 - (629)
