Course,URL,instructor,Price (full),Price (discount),Rank
GDPR - A 3-Step Process for applying GDPR +Tools +Templates™,www.udemy.com/course/gdpr-requirements-compliant-behaviours-software-tools/,Dr. Chris Mall,"¥18,000","¥1,270",Rating: 4.5 out of 54.5 - (151)
Start Your Own Bookkeeping Business,www.udemy.com/course/start-your-own-bookkeeping-business/,Lisa Newton,"¥5,400","¥1,270",Rating: 4.1 out of 54.1 - (104)
Venture Capital Financial Modeling,www.udemy.com/course/venture-capital-financial-modeling/,Institute of Investment Banking,"¥12,000","¥1,270",Rating: 3.5 out of 53.5 - (78)
Get Credit for Your EIN That's Not Linked to Your SSN,www.udemy.com/course/business-credit/,Ty Crandall,"¥2,400","¥1,270",Rating: 4.4 out of 54.4 - (111)
ACCA: AA (F8) - Audit and assurance,www.udemy.com/course/acca-f8-audit-and-assurance/,Rowan Malherbe,"¥12,000","¥1,270",Rating: 4.2 out of 54.2 - (23)
[PMBOK® V6] - PMP® Exam Simulator - Two Complete Exams,www.udemy.com/course/pmbok-v6-pmp-exam-simulator/,Leithy Mohamed Leithy,"¥12,000","¥1,270",Rating: 3.8 out of 53.8 - (111)
Writing to Heal.  Using journaling to transform your life,www.udemy.com/course/writing-to-heal/,Dale Darley,"¥6,000","¥1,270",Rating: 4.5 out of 54.5 - (69)
Writing to Heal.  Using journaling to transform your life,www.udemy.com/course/writing-to-heal/,Dale Darley,"฿1,800",฿330,Rating: 4.5 out of 54.5 - (69)
Attract New Clients and Grow Your Business Using LinkedIn,www.udemy.com/course/grow-your-network-and-attract-clients-using-linkedin/,Erin Booth,"฿1,000",฿330,Rating: 4.8 out of 54.8 - (24)
Basics of Economics A Complete Study,www.udemy.com/course/economics-for-accounting-and-finance-professionals/,"Raja Natarajan, B.Com., PGDBA, FCA","฿7,800",฿330,Rating: 4.4 out of 54.4 - (58)
"Flow of fluids through pipe, fittings, valves and pumps",www.udemy.com/course/flow-of-fluids-through-pipe-fittings-valves-and-pumps/,WR Training,"฿7,800",฿330,Rating: 4.7 out of 54.7 - (7)
ISO 45001 Occupational Safety & Health Management System,www.udemy.com/course/iso-45001-occupational-safety-and-health-management-system-course/,Syed Muhammad Shamuel Shees,"฿4,800",฿330,Rating: 4.2 out of 54.2 - (149)
MongoDB Administration,www.udemy.com/course/mongodb-administration/,Packt Publishing,"฿4,800",฿330,Rating: 3.9 out of 53.9 - (50)
The Securities Trade Lifecycle,www.udemy.com/course/the-securities-trade-lifecycle/,Starweaver Group,฿800,฿330,Rating: 4.1 out of 54.1 - (464)
Fundamentals of Change Management,www.udemy.com/course/fundamentals-of-change-management/,Quantum Consultants,฿600,฿330,Rating: 4.0 out of 54.0 - (228)
Writing Effective Business Emails,www.udemy.com/course/writing-effective-business-emails/,Jane Watson,฿600,฿330,Rating: 4.2 out of 54.2 - (392)
Financial Risk Manager (FRM) Certification: Level I,www.udemy.com/course/financial-risk-manager-frm-certification-level-i/,EduPristine Inc,0,"฿1,800",Rating: 3.7 out of 53.7 - (94)
"Upwork Ultimate Guide 2019 - Beginner to Pro, From A to Z!",www.udemy.com/course/upwork-ultimate-guide-2019-beginner-to-pro-from-a-to-z/,Janko Glavonjic,"฿7,800",฿330,Rating: 4.7 out of 54.7 - (68)
Futures/Commodity Trading,www.udemy.com/course/futurestrading/,G. Scott Martin,"฿1,800",฿330,Rating: 3.8 out of 53.8 - (124)
How to Consistently Win Trading Stocks in 30 Days or Less,www.udemy.com/course/winningstocktrades/,Jeff Tompkins,"฿5,600",฿330,Rating: 4.6 out of 54.6 - (286)
How To Start A 6 Figure Amazon Dropshipping Home Business!,www.udemy.com/course/6figuredropshipper/,Armani Keller,฿600,฿330,Rating: 4.5 out of 54.5 - (228)
Project Management for Medical Devices,www.udemy.com/course/project-management-for-medical-devices/,Josh Simon,0,"฿7,800",Rating: 4.1 out of 54.1 - (18)
Business development skills: inner game sales skills mastery,www.udemy.com/course/sales-skills-the-inner-game-of-sales-business-development-entrepreneur/,Stefan Devito,"฿7,200",฿330,Rating: 4.5 out of 54.5 - (34)
Web Analytics & Digital Marketing Analytics - Zero to Hero,www.udemy.com/course/digital-marketing-analytics-fundamentals-and-process/,Anil Batra,$199.99,$10.44,Rating: 4.4 out of 54.4 - (218)
Professional Email Writing,www.udemy.com/course/professional-email-writing/,David Boughton,$19.99,$10.99,Rating: 4.2 out of 54.2 - (50)
How to start your restaurant and make a profit in 8 weeks!,www.udemy.com/course/how-to-start-your-restaurant/,Vincent Vermeulen,$19.99,$10.99,Rating: 4.3 out of 54.3 - (83)
PgMP® Certification Tests - Two Complete Exams [4th Edition],www.udemy.com/course/pgmp-certification-tests-two-real-exams/,Leithy Mohamed Leithy,$99.99,$10.44,Rating: 3.8 out of 53.8 - (95)
Customer Success: How to Reduce Churn and Increase Retention,www.udemy.com/course/customer-success-how-to-reduce-churn-and-increase-retention/,"Gustavo Escobar Henríquez, Digital Life Academy",$49.99,$10.44,Rating: 4.4 out of 54.4 - (79)
Complete Time Series Data Analysis Bootcamp In R,www.udemy.com/course/complete-time-series-data-analysis-bootcamp-in-r/,Minerva Singh,$199.99,$10.44,Rating: 4.2 out of 54.2 - (183)
