Course,URL,instructor,Price (full),Price (discount),Rank
Financial Modeling: Build a Complete DCF Valuation Model,www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/,365 Careers,0,0,"4.4(1,662 ratings)"
Beginner to Pro in PowerPoint: Complete PowerPoint Training,www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,365 Careers,0,0,"4.3(2,764 ratings)"
Accounting: From Beginner to Advanced!,www.udemy.com/course/accounting101/,"Stefan Ignatovski, Ph.D.",0,0,"4.3(2,188 ratings)"
Investing Success: Learn Keys From A Millionaire Investor!,www.udemy.com/course/investing-success/,"Steve Ballinger, MBA",0,0,4.3(810 ratings)
Financial Derivatives: A Quantitative Finance View,www.udemy.com/course/financial-derivatives/,Cameron Connell,0,0,4.5(308 ratings)
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,www.udemy.com/course/metatrader4/,Kirill Eremenko,0,0,"4.6(1,485 ratings)"
Financial modeling | Project Finance & Infrastructure,www.udemy.com/course/financial-modeling-project-finance-infrastructure/,DealMaker Financial Training,0,0,4.4(699 ratings)
Value Investing Bootcamp: How to Invest Wisely,www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/,Nick Kraakman,0,0,"4.3(2,532 ratings)"
Complete 2-in-1 Python for Business and Finance Bootcamp,www.udemy.com/course/complete-python-for-business-and-finance-bootcamp/,Alexander Hagmann,199.99,9.99,4.7(21 ratings)
Bookkeeping Basics #1:  Understand the Fundamentals,www.udemy.com/course/bookkeeping-basics/,Ron Trucks,0,0,"4.4(1,009 ratings)"
Excel Crash Course: Master Excel for Financial Analysis,www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Tim Vipond,0,0,"4.5(2,518 ratings)"
CFA Level 1 (2020) - Complete Equity Investments,www.udemy.com/course/cfa-level-1-complete-equity-investments/,"PrepNuggets | Keith Tan, CFA",99.99,9.99,4.7(226 ratings)
CFA Level 1 (2020) - Complete Fixed Income,www.udemy.com/course/cfa-level-1-complete-fixed-income/,"PrepNuggets | Keith Tan, CFA",99.99,9.99,4.6(336 ratings)
Mastering QuickBooks Online,www.udemy.com/course/mastering-quickbooks-online/,Mark Smolen,44.99,9.99,4.4(978 ratings)
Investing 101: The Complete Online Investing Course 2020,www.udemy.com/course/online-investing-guide/,Wealthy Education,199.99,9.99,"4.3(1,412 ratings)"
Forex Trading Strategy: A Complete System with Live Examples,www.udemy.com/course/forex-trading-strategy-a-complete-system-with-live-examples/,Federico Sellitti,199.99,9.99,4.6(780 ratings)
Financial modeling | Renewable Energy: Solar & Wind,www.udemy.com/course/financial-modeling-solar-wind-power-plants-2018/,DealMaker Financial Training,199.99,50.00,4.5(355 ratings)
The Complete Value Investing Course (Updated 2020),www.udemy.com/course/value-investing-essential-guide-to-picking-stocks/,Wealthy Education,199.99,9.99,4.4(941 ratings)
The Complete Technical Analysis Trading Course (New 2020),www.udemy.com/course/the-complete-technical-analysis-course/,Wealthy Education,199.99,9.99,4.4(833 ratings)
CFA Level 1 (2020) - Complete Derivatives,www.udemy.com/course/cfa-level-1-complete-derivatives/,"PrepNuggets | Keith Tan, CFA",49.99,9.99,4.5(379 ratings)
Options Trading for Rookies:  Understand Options Completely,www.udemy.com/course/complete-course-introduction-to-option-trading/,Kal Zurn,149.99,9.99,4.8(658 ratings)
Managerial Accounting- #1 Ranked University: Course 2 of 5,www.udemy.com/course/managerial_accounting/,Norm Nemrow,199.99,9.99,4.6(41 ratings)
Forex Trading Price Action: Advanced Swing Trading Strategy,www.udemy.com/course/forex-trading-price-action-advanced-swing-trading-strategy/,Federico Sellitti,199.99,9.99,4.7(697 ratings)
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,www.udemy.com/course/financial-management-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,9.99,4.3(710 ratings)
Options Trading - How to Win with Weekly Options,www.udemy.com/course/work-from-home-setup-your-own-options-trading-business/,Jeff Tompkins,114.99,9.99,"4.2(2,230 ratings)"
How to Win 97% of Your Options Trades,www.udemy.com/course/how-to-win-97-percent-of-your-trades/,Jeff Tompkins,124.99,9.99,"4.3(1,256 ratings)"
"QuickBooks Pro Desktop 2020, 2019,  & 2018 Start to Finish",www.udemy.com/course/quickbooks-pro-2018-start-to-finish/,Robert (Bob) Steele,199.99,9.99,4.1(588 ratings)
"Forex Strategies: Kelly Criterion, Larry Williams and more!",www.udemy.com/course/money-management/,Kirill Eremenko,184.99,9.99,"4.6(1,431 ratings)"
New GST e-learning certification by ClearTax,www.udemy.com/course/new-gst-returns/,ClearTax Learning,0,74.99,4.0(38 ratings)
The Complete Introduction To Accounting and Finance,www.udemy.com/course/finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",199.99,9.99,4.4(530 ratings)
Xero Online Accounting - Learn Xero in a Day,www.udemy.com/course/xero-in-a-day/,Marion Thomson,99.99,9.99,4.5(473 ratings)
The Complete Day Trading Course (New 2020),www.udemy.com/course/the-complete-day-trading-course/,Wealthy Education,199.99,9.99,4.2(538 ratings)
Chart Pattern Technical Analysis for Forex & Stock Trading !,www.udemy.com/course/technical-analysis-traditional-harmonic-chart-patterns/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,9.99,4.7(225 ratings)
The Advanced Cryptocurrency Trading Course - With Strategies,www.udemy.com/course/the-advanced-cryptocurrency-trading-course-with-strategies/,Mohsen Hassan,199.99,9.99,4.7(69 ratings)
CFA Level 1 (2020) - Complete Portfolio Management,www.udemy.com/course/cfa-level-1-complete-portfolio-management/,"PrepNuggets | Keith Tan, CFA",69.99,9.99,4.6(65 ratings)
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",39.99,9.99,4.5(166 ratings)
Quantitative Finance & Algorithmic Trading in Python,www.udemy.com/course/quantitative-finance-algorithmic-trading-in-python/,Holczer Balazs,199.99,9.99,4.4(550 ratings)
The Complete Options Trading Course (New 2020),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,199.99,9.99,4.4(429 ratings)
