Course,URL,instructor,Price (full),Price (discount),Rank
SAP ABAP Programming For Beginners - Online Training,www.udemy.com/course/sap-abap-programming-for-beginners/,Peter Moxon,94.99,9.99,"4.3(3,917 ratings)"
Beginner to Pro in PowerPoint: Complete PowerPoint Training,www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,365 Careers,149.99,9.99,"4.3(2,769 ratings)"
The Complete Power BI Practical Course 2020,www.udemy.com/course/the-complete-power-bi-practical-course/,365 Careers,199.99,9.99,4.4(76 ratings)
SAP SD Training - in Plain English,www.udemy.com/course/sap-sd-training/,Siva Prasad,199.99,9.99,"4.3(3,592 ratings)"
Microsoft Visio 13/16/19 Like a Boss - The Definitive Course,www.udemy.com/course/visio-2013-like-a-boss/,Brian Culp,149.99,9.99,"4.5(1,614 ratings)"
Mastering Microsoft Teams (2019),www.udemy.com/course/mastering-microsoft-teams/,Chip Reaves,24.99,9.99,"4.3(1,890 ratings)"
Microsoft Access VBA for Non Programmers - YOU Can Do This!,www.udemy.com/course/access-vba-for-nonprogrammers-increase-your-earning-power/,Bruce Myron,199.99,9.99,"4.6(1,519 ratings)"
Master Microsoft Project 2016 - 6 PDUs from a PMI REP,www.udemy.com/course/microsoft-project-2016/,Joseph Phillips,99.99,9.99,"4.5(2,448 ratings)"
Microsoft 365 Identity And Services (Exam MS-100),www.udemy.com/course/microsoft-365-identity-and-services-exam-ms-100/,Intellezy Trainers,64.99,9.99,4.3(241 ratings)
Excel VBA Programming - The Complete Guide,www.udemy.com/course/excel-vba-programming/,Boris Paskhaver,199.99,9.99,"4.5(2,521 ratings)"
SharePoint 2013 Complete Training,www.udemy.com/course/sharepoint-2013-complete-training/,Kyle Pew,99.99,9.99,"4.3(3,830 ratings)"
Excel to Access: Intro to Microsoft Access for Excel Users,www.udemy.com/course/import-excel-into-access/,Bruce Myron,199.99,9.99,"4.6(2,583 ratings)"
SAP : Supply Chain Logistics in R/3,www.udemy.com/course/sap-supply-chain-logistics-in-r3/,Abdul Maulud,139.99,9.99,4.3(886 ratings)
Office 365 PowerApps,www.udemy.com/course/office-365-powerapps/,Intellezy Trainers,39.99,9.99,4.5(147 ratings)
The Complete Windows PowerShell Training For Beginners,www.udemy.com/course/windows-powershell/,Fettah Ben,149.99,9.99,"4.3(1,270 ratings)"
Master Microsoft Outlook - Outlook from Beginner to Advanced,www.udemy.com/course/master-microsoft-outlook-2016-from-beginner-to-advanced/,Kirt Kershaw,149.99,9.99,4.4(266 ratings)
Creative PowerPoint Slide Design & Animation – For Beginners,www.udemy.com/course/creative-powerpoint-slide-design-animation/,Ramgopal from Presentation Process,199.99,9.99,4.5(436 ratings)
Learn SAP ABAP Objects - Online Training Course,www.udemy.com/course/abap-objects/,Peter Moxon,94.99,9.99,"4.6(1,258 ratings)"
"SharePoint 2016 Site Owner, User, & 365 (3-course bundle)",www.udemy.com/course/sharepoint-2016-site-owner-user-365-3-course-bundle/,Intellezy Trainers,79.99,9.99,4.3(902 ratings)
Master Google Sheets (and see why it's better than Excel),www.udemy.com/course/google-spreadsheet-tutorial/,Justin Mares,174.99,9.99,"4.3(1,978 ratings)"
Google Cloud Productivity - Drive and Google's Office Suite,www.udemy.com/course/google-office-productivity/,Joe Buchmann,44.99,9.99,4.5(773 ratings)
SAP ERP Essential Training,www.udemy.com/course/sap-erp-essential-training/,Joseph Beverly,199.99,9.99,4.2(508 ratings)
Master Microsoft Word  - Word from Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced/,Kirt Kershaw,149.99,9.99,4.6(295 ratings)
Mastering Office 365 (2019),www.udemy.com/course/mastering-office-365-2016/,Chip Reaves,39.99,9.99,"4.4(1,368 ratings)"
Certified Information Systems Auditor (CISA) (Part 2 of 2),www.udemy.com/course/certified-information-systems-auditor-part2-of-part2/,Stone River eLearning,19.99,9.99,4.2(83 ratings)
Advanced Microsoft PowerPoint Training,www.udemy.com/course/powerpoint-speed-training/,Taylor Croonquist,0,199.99,"4.5(1,215 ratings)"
PowerPoint Presentation Slide Design and Animation,www.udemy.com/course/powerpoint-presentation-slide-design-and-animation/,PowerPoint School,199.99,9.99,4.6(820 ratings)
Power BI Master Class - Dashboards and Power BI Service,www.udemy.com/course/power-bi-master-class-dashboards-and-power-bi-service/,Ian Littlejohn,99.99,9.99,4.5(681 ratings)
Importing Financial Data with Python from Free Web Sources,www.udemy.com/course/importing-free-financial-data-with-python/,Alexander Hagmann,199.99,9.99,4.5(36 ratings)
Master Microsoft Access - Access from Beginner to Advanced,www.udemy.com/course/microsoft-access-2016-access-from-beginner-to-advanced/,Kirt Kershaw,149.99,9.99,4.4(351 ratings)
The Complete iMovie Course - from Beginner to Advanced 2019!,www.udemy.com/course/the-complete-imovie-course/,Rafi Saar,199.99,9.99,4.5(696 ratings)
Quantity Surveying/Building Estimation With Cad And Excel,www.udemy.com/course/quantity-surveyingbuilding-estimation/,Mudessar Afraz,0,0,4.2(230 ratings)
Ultimate Microsoft Project 2016 Course - Beginner to Expert,www.udemy.com/course/ultimate-microsoft-project-2016-course-beginner-to-expert/,Simon Sez IT,199.99,9.99,4.4(903 ratings)
Microsoft 365 Mobility and Security (Exam MS-101),www.udemy.com/course/microsoft-365-mobility-and-security-exam-ms-101/,Intellezy Trainers,64.99,9.99,4.2(35 ratings)
Power BI Master Class - Consume and Transform Data,www.udemy.com/course/power-bi-master-class-consume-and-transform-data/,Ian Littlejohn,0,0,4.3(670 ratings)
SAP S4 HANA SIMPLE LOGISTICS,www.udemy.com/course/sap-s4-hana-simple-logistics/,Knowasap Training,0,0,4.1(207 ratings)
Salesforce New User Training,www.udemy.com/course/salesforcecom-new-user-training/,Aspiratech Training,0,0,"4.3(2,205 ratings)"
Azure - Active Directory,www.udemy.com/course/azure-active-directory/,Intellezy Trainers,39.99,9.99,"4.3(1,095 ratings)"
The Complete ASP.Net Core MVC With Entity Framework Core,www.udemy.com/course/aspnet-mvc-with-entity-framework-from-scratch/,Manzoor Ahmed,0,0,4.2(529 ratings)
