Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete Python Bootcamp: Go from zero to hero in Python 3,www.udemy.com/course/complete-python-bootcamp/,Jose Portilla,"₩214,500","₩13,200","Rating: 4.5 out of 54.5 - (224,071)","[(/user/joseportilla/, Jose Portilla)]",Development,Programming Languages,Python,"825,343",English,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,9/2019,01/27/20
The Data Science Course 2020: Complete Data Science Bootcamp,www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"365 Careers, 365 Careers Team","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (43,843)","[(/user/365careers/, 365 Careers), (/user/365-careers-team/, 365 Careers Team)]",Development,Data Science,Data Analysis,"202,258",English,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",1/2020,01/27/20
Machine Learning A-Z™: Hands-On Python & R In Data Science,www.udemy.com/course/machinelearning/,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, SuperDataScience Support","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (104,781)","[(/user/kirilleremenko/, Kirill Eremenko), (/user/hadelin-de-ponteves/, Hadelin de Ponteves), (/user/superdatascience-team/, SuperDataScience Team), (/user/superdatascience-support/, SuperDataScience Support)]",Development,Data Science,Python,"531,561",English,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,1/2020,01/27/20
The Complete 2020 Web Development Bootcamp,www.udemy.com/course/the-complete-web-development-bootcamp/,Angela Yu,"₩220,000","₩13,200","Rating: 4.7 out of 54.7 - (35,633)","[(/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/, Angela Yu)]",Development,Web Development, ,"128,164",English,"Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more!",1/2020,01/27/20
The Web Developer Bootcamp,www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,"₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (151,826)","[(/user/coltsteele/, Colt Steele)]",Development,Web Development, ,"514,954",English,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",1/2020,01/27/20
Java Programming Masterclass for Software Developers,www.udemy.com/course/java-the-complete-java-developer-course/,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Kevin McClung","₩165,000","₩13,200","Rating: 4.6 out of 54.6 - (96,681)","[(/user/timbuchalka/, Tim Buchalka), (/user/learn-programming-academy/, Tim Buchalka's Learn Programming Academy), (/user/kevin-mcclung/, Kevin McClung)]",Development,Programming Languages,Java,"407,192",English,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,12/2019,01/27/20
"React - The Complete Guide (incl Hooks, React Router, Redux)",www.udemy.com/course/react-the-complete-guide-incl-redux/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","₩209,000","₩13,200","Rating: 4.6 out of 54.6 - (61,489)","[(/user/academind/, Academind by Maximilian Schwarzmüller), (/user/maximilian-schwarzmuller/, Maximilian Schwarzmüller)]",Development,Programming Languages,React,"205,642",English,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",1/2020,01/27/20
The Complete JavaScript Course 2020: Build Real Projects!,www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,"₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (61,544)","[(/user/jonasschmedtmann/, Jonas Schmedtmann)]",Development,Web Development,JavaScript,"266,567",English,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",12/2019,01/27/20
Python for Data Science and Machine Learning Bootcamp,www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Jose Portilla,"₩214,500","₩13,200","Rating: 4.5 out of 54.5 - (61,388)","[(/user/joseportilla/, Jose Portilla)]",Development,Data Science,Machine Learning,"289,602",English,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",1/2020,01/27/20
iOS 13 & Swift 5 - The Complete iOS App Development Bootcamp,www.udemy.com/course/ios-13-app-development-bootcamp/,Angela Yu,"₩220,000","₩13,200","Rating: 4.7 out of 54.7 - (30,067)","[(/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/, Angela Yu)]",Development,Mobile Apps,Swift,"113,783",English,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,1/2020,01/27/20
