Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
AWS Certified Solutions Architect - Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate/,"Ryan Kroonenburg, Faye Ellis",€179.99,€11.99,"Rating: 4.5 out of 54.5 - (163,242)","[(/user/ryankroonenburg/, Ryan Kroonenburg), (/user/faye-ellis-2/, Faye Ellis)]",IT & Software,IT Certification,AWS Certification,"503,063",English,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,1/2020,01/27/20
Learn Ethical Hacking From Scratch,www.udemy.com/course/learn-ethical-hacking-from-scratch/,"Zaid Sabih, z Security",€194.99,€11.99,"Rating: 4.5 out of 54.5 - (56,665)","[(/user/zaidsabih/, Zaid Sabih), (/user/zsecurity-2/, z Security)]",IT & Software,Network & Security,Ethical Hacking,"275,097",English,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,1/2020,01/27/20
Practical Ethical Hacking - The Complete Course,www.udemy.com/course/practical-ethical-hacking/,Heath Adams,€119.99,€30.00,"Rating: 4.8 out of 54.8 - (1,796)","[(/user/heath-adams-2/, Heath Adams)]",IT & Software,Network & Security,Ethical Hacking,"8,728",English,2020 Launch! Learn how to hack like a pro by a pro. Up to date practical hacking techniques with absolutely no filler.,1/2020,01/27/20
Ultimate AWS Certified Solutions Architect Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,€199.99,€11.99,"Rating: 4.7 out of 54.7 - (15,345)","[(/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer)]",IT & Software,IT Certification,AWS Certification,"69,054",English,Pass the AWS Certified Solutions Architect Certification. Complete AWS Certified Solutions Architect Associate Training!,1/2020,01/27/20
Ultimate AWS Certified Developer Associate 2020 - NEW!,www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,€199.99,€11.99,"Rating: 4.6 out of 54.6 - (13,430)","[(/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer)]",Development,Software Engineering,AWS Certification,"71,758",English,Become an AWS Certified Developer! Learn all AWS Certified Developer Associate topics. PASS the Certified Developer Exam,1/2020,01/27/20
TOTAL: CompTIA A+ Certification (220-1001).,www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",€144.99,€11.99,"Rating: 4.7 out of 54.7 - (11,911)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students), (/user/mike-meyers/, Mike Meyers)]",IT & Software,IT Certification,CompTIA A+,"32,772",English,"Course 1: Everything you need to pass the A+ Certification Core 1 (220-1001) Exam, from Mike Meyers and Total Seminars.",1/2020,01/27/20
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams/,"Jon Bonso • AWS Certified Solutions Architect & Certified Developer, Tutorials Dojo",€39.99,€11.99,"Rating: 4.6 out of 54.6 - (9,718)","[(/user/jonjonbonso/, Jon Bonso • AWS Certified Solutions Architect & Certified Developer), (/user/tutorials-dojo-3/, Tutorials Dojo)]",IT & Software,IT Certification,AWS Certification,"51,463",English,390 AWS Certified Solutions Architect Associate Practice Test Questions in 6 sets w/ Complete Explanations & References,1/2020,01/27/20
The Complete Cyber Security Course : Hackers Exposed!,www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,€119.99,€11.99,"Rating: 4.5 out of 54.5 - (23,175)","[(/user/nathan-house/, Nathan House)]",IT & Software,Network & Security,Cyber Security,"131,870",English,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking, Learn IT Security & INFOSEC",10/2019,01/27/20
TOTAL: CompTIA A+ Certification (220-1002).,www.udemy.com/course/new-comptia-a-2019-certification-1002-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",€144.99,€11.99,"Rating: 4.7 out of 54.7 - (2,297)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students), (/user/mike-meyers/, Mike Meyers)]",IT & Software,IT Certification,CompTIA A+,"23,571",English,"Course 2: Everything you need to pass the A+ Certification Core 2 (220-1002) Exam, from Mike Meyers and Total Seminars.",1/2020,01/27/20
Certified Kubernetes Administrator (CKA) with Practice Tests,www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,"Mumshad Mannambeth, KodeKloud Training",€199.99,€11.99,"Rating: 4.7 out of 54.7 - (5,766)","[(/user/mumshad-mannambeth/, Mumshad Mannambeth), (/user/kodekloud/, KodeKloud Training)]",IT & Software,IT Certification,Kubernetes,"27,574",English,Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,1/2020,01/27/20
