Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Photographic Lighting for Advanced Shooters,www.udemy.com/course/photographic-lighting-for-advanced-shooters/,Michael Andrew,0,"₩55,000",Rating: 4.8 out of 54.8 - (3),"[(/user/michaelandrew3/, Michael Andrew)]",Photography,Photography Fundamentals,Photography Lighting,21,English,Michael Andrew provides an in-depth look at lighting setups that advanced photographers will love to investigate.,10/2014,01/27/20
After Effects Video Editing: Edit Your Home Video Like a Pro,www.udemy.com/course/after-effects-video-editing-edit-video/,Louay Zambarakji,"₩44,000","₩13,200",Rating: 4.7 out of 54.7 - (27),"[(/user/ultimateresults/, Louay Zambarakji)]",Photography,Video Design,After Effects,"1,428",English,"Edit Your Home Video in After Effects- Create Transitions, Add Animated Text and Motion Graphic. Produce Quality Videos",4/2017,01/27/20
Dark & Moody Food Photography Workshop for Beginners,www.udemy.com/course/dark-moody-food-photography/,Alexandra Gábor,"₩99,000","₩13,200",Rating: 4.0 out of 54.0 - (21),"[(/user/alexandra-gabor-2/, Alexandra Gábor)]",Photography,Photography Fundamentals,Food Photography,237,English,"Boost Your Instagram/Business/Blog with Stunning Food or Product Photos, Create a Rustic Look by Smartphone & Low Budget",4/2018,01/27/20
Film Festival Hacks: How to Submit to Festivals Like a Pro,www.udemy.com/course/film-festival-hacks-filmmaking/,"IFH Courses, Christopher Holland","₩192,500","₩13,200",Rating: 3.5 out of 53.5 - (67),"[(/user/b01ab0b4-4a3a-4f94-938c-92782a241d76/, IFH Courses), (/user/christopher-holland/, Christopher Holland)]",Photography,Video Design,Filmmaking,"2,000",English,Filmmaking is tough enough! We show u the secret hacks to get into film festivals for FREE & How not to get ripped off!,7/2018,01/27/20
Photoshop CC: Digital Art Pro Techniques - Become an Artist!,www.udemy.com/course/photoshop-learn-digital-art-pro-techniques/,Kasia Zmokla,0,"₩55,000",Rating: 4.4 out of 54.4 - (89),"[(/user/kasia-zmokla/, Kasia Zmokla)]",Photography,Photography Tools,Photoshop,"3,212",English,Everything you need to know to realise your creative vision,7/2019,01/27/20
Creative Portrait Photography Series: Backgrounds With Gobos,www.udemy.com/course/creative-photography-lighting-funky-backgrounds-with-gobos/,Sandy Dee,"₩110,000","₩13,200",Rating: 4.4 out of 54.4 - (21),"[(/user/sandydee/, Sandy Dee)]",Photography,Portraits,Photography Lighting,184,English,Bring Your Portrait and Fashion Lighting Skills To The Next Level: Create Funky Background Designs With Gobos And Gels,11/2019,01/27/20
Trick Photography and Special Effects,www.udemy.com/course/trick-photography-and-special-effects/,Evan Sharboneau,"₩110,000","₩13,200",Rating: 0.0 out of 50.0 - (0),"[(/user/evansharboneau/, Evan Sharboneau)]",Photography,Digital Photography,Photoshop,20,English,"The Ultimate Guide of Tricks, Techniques, and Ideas that Create Mind-Twisting Images",11/2019,01/27/20
Learn Dynamic Photography Composition,www.udemy.com/course/ultimate-photography-composition/,Mark A Paulda,"₩38,500","₩13,200",Rating: 4.3 out of 54.3 - (62),"[(/user/mark-a-paulda/, Mark A Paulda)]",Photography,Photography Fundamentals,Photography Composition,294,English,Strengthen Your Photo Composition For Better Photographs,9/2019,01/27/20
Wildlife Photography: How To Get Close,www.udemy.com/course/wildlife-photography-how-to-get-close/,Mike Blair,0,"₩27,500",Rating: 4.2 out of 54.2 - (29),"[(/user/mikeblair/, Mike Blair)]",Photography,Other,Nature Photography,122,English,"Unwilling subjects, random chances, remote locations – overcome these obstacles to shoot pro-quality wildlife photos.",5/2013,01/27/20
Photographing the beauty of birds,www.udemy.com/course/photographing-birds/,Prashant Gupta,£49.99,£10.99,Rating: 4.1 out of 54.1 - (52),"[(/user/prashantkumargupta/, Prashant Gupta)]",Photography,Other,Photography,374,English,Bird Photography,,01/27/20
