Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
AZ-900: Microsoft Azure Fundamentals Exam Prep -2020 Edition,www.udemy.com/course/az900-azure/,"Scott Duffy  • 200,000+ Students",29.99,11.99,"4.4(2,176 ratings)",IT & Software,,Microsoft AZ-900
Microsoft Azure - Beginner's Guide + AZ-900 preparation,www.udemy.com/course/microsoft-azure-beginners-guide/,Alan Rodrigues,99.99,11.99,"4.4(3,891 ratings)",IT & Software,,Microsoft AZ-900
AZ-900 Azure Exam Prep: Microsoft Azure Fundamentals,www.udemy.com/course/az-900-azure-exam-prep-understanding-cloud-concepts/,Thomas Mitchell,19.99,11.99,"4.4(2,215 ratings)",IT & Software,,Microsoft AZ-900
Microsoft Azure Fundamentals (AZ-900) - Practice Tests,www.udemy.com/course/microsoft-azure-fundamentals-az-900-practice-tests/,Exam Pass,89.99,11.99,4.2(600 ratings),IT & Software,,Microsoft AZ-900
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,www.udemy.com/course/az900-azure-tests/,"Scott Duffy  • 200,000+ Students",29.99,11.99,4.2(511 ratings),IT & Software,,Microsoft AZ-900
"Azure Bundle Prep for AZ-900 , AZ-102 and Az-103",www.udemy.com/course/implementing-microsoft-azure-infrastructure-solutions-70533/,Anand Nednur,124.99,11.99,4.3(684 ratings),IT & Software,,Microsoft AZ-900
Microsoft AZ-900 Certification: Azure Fundamentals,www.udemy.com/course/az-900-azurefundamentals/,Nick Colyer,49.99,11.99,4.3(427 ratings),IT & Software,,Microsoft AZ-900
Azure Fundamentals: AZ-900 Certification,www.udemy.com/course/azure-fundamentals-az-900-certification/,Kevin Brown,99.99,11.99,4.4(187 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Azure Sure&Quick Success Complete Course+Quiz& 2 Exam,www.udemy.com/course/silver-bullet-to-crack-az900-azure-fundamental-certification/,Rajeev Chatterjee,199.99,11.99,4.0(485 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Azure Exam Prep: Understanding Core Azure Services,www.udemy.com/course/az-900-azure-exam-prep-understanding-core-azure-services/,Thomas Mitchell,29.99,11.99,4.1(487 ratings),IT & Software,,Microsoft AZ-900
Crash course to pass the Microsoft Azure Fundamentals AZ900,www.udemy.com/course/crash-course-to-pass-the-microsoft-azure-fundamentals-az900/,Andre Hiotis,39.99,11.99,4.2(357 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Microsoft Azure Fundamentals Practice Tests 2019,www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-tests-2019/,SKILLCERTPRO : Get Certified,19.99,11.99,3.9(62 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Azure Certification:- 5 Complete Practice Exams,www.udemy.com/course/azure-fundamental-az-900-complete-practice-exam/,Rajeev Chatterjee,199.99,11.99,4.0(91 ratings),IT & Software,,Microsoft AZ-900
Exam AZ-900: Microsoft Azure Fundamentals,www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals/,Certification Master,114.99,11.99,4.3(21 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Azure Exam Prep: Security Privacy Compliance & Trust,www.udemy.com/course/az-900-azure-exam-prep-security-privacy-compliance-trust/,Thomas Mitchell,29.99,11.99,4.2(311 ratings),IT & Software,,Microsoft AZ-900
Pass Microsoft Azure Fundamentals AZ-900 Guaranteed!,www.udemy.com/course/pass-microsoft-azure-fundamentals-az-900-guaranteed/,EXAM SUCCESS,199.99,11.99,4.1(23 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Microsoft Azure Fundamentals Exam Quick Prep,www.udemy.com/course/microsoft-azure-fundamentals/,Vijay Saini,199.99,11.39,4.5(34 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Azure Exam Prep: Understand Azure Pricing & Support,www.udemy.com/course/az-900-azure-exam-prep-understand-azure-pricing-support/,Thomas Mitchell,29.99,13.19,4.3(302 ratings),IT & Software,,Microsoft AZ-900
"AZ-900 Microsoft Azure Fundamentals ,Practice Tests",www.udemy.com/course/exame-az-900-microsoft-azure-fundamentals-test/,Best Online IT,99.99,11.39,3.3(37 ratings),IT & Software,,Microsoft AZ-900
AZ-900: Microsoft Azure Fundamentals Practice Tests,www.udemy.com/course/az-900-azure-fundamentals-practice-tests/,Dhananjay Singh,19.99,11.39,3.5(16 ratings),IT & Software,,Microsoft AZ-900
"Exam AZ-900: Microsoft Azure Fundamentals, Exam Questions",www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals-exam-questions/,Exam Answer,24.99,11.39,4.2(4 ratings),IT & Software,,Microsoft AZ-900
AZ-900 : Microsoft Azure Fundamentals Exam Preparations,www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-tests/,Arindam Mondal,19.99,11.39,5.0(2 ratings),IT & Software,,Microsoft AZ-900
AZ-900: Microsoft Azure Fundamentals practice exams,www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-exams/,Mark Dodd,24.99,11.39,2.9(20 ratings),IT & Software,,Microsoft AZ-900
AZ-900: Microsoft Azure Fundamentals Practice Tests,www.udemy.com/course/azure-fundamentals-tests/,Pooja Kataria,79.99,11.39,4.0(8 ratings),IT & Software,,Microsoft AZ-900
AZ-900 * Microsoft Azure Fundamentals * Practice Exams,www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-exams-o/,Get Certified,69.99,11.39,5.0(1 rating),IT & Software,,Microsoft AZ-900
AZ-900: Microsoft Azure Fundamentals Practice Exam,www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals-s/,Damitha Jayawardena,34.99,11.39,4.3(4 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Microsoft Azure Fundamentals Exam Golden Exam Pass,www.udemy.com/course/az-900-microsoft-azure-fundamentals-exam-golden-exam-pass/,Prep For Certifications Pass-Certs,29.99,11.39,3.3(7 ratings),IT & Software,,Microsoft AZ-900
AZ-900 - Microsoft Azure Fundamentals - Real Practice Tests,www.udemy.com/course/az-900-microsoft-azure-fundamentals-real-practice-tests/,Practice Tests,89.99,11.39,0.0(0 ratings),IT & Software,,Microsoft AZ-900
Microsoft Azure Fundamentals - AZ 900 Exam Preparation,www.udemy.com/course/microsoft-azure-fundamentals-az-900-exam-preparation/,Arindam Mondal,19.99,11.39,0.0(0 ratings),IT & Software,,Microsoft AZ-900
AZ-900 Practice Test Exam Microsoft Azure Fundamentals,www.udemy.com/course/az-900-practice-test-exam-microsoft-azure-fundamentals/,Bhavesh Atara,19.99,11.39,0.0(0 ratings),IT & Software,,Microsoft AZ-900
Exam AZ-900: Microsoft Azure Fundamentals : Practice Tests,www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals-practice-tests/,Mehul Patel,29.99,11.39,0.0(0 ratings),IT & Software,,Microsoft AZ-900
Microsoft Azure ☁ + Preparação Certificação Oficial Az-900,www.udemy.com/course/introducao-ao-microsoft-azure-certificacao-az-900/,Zeca Nunes,89.99,11.39,4.4(100 ratings),IT & Software,,Microsoft AZ-900
SIMULADO AZ-900 - AZURE FUNDAMENTALS (OUTUBRO/2019),www.udemy.com/course/simulado-certificacao-az-900/,Andrey Smith,19.99,11.39,4.6(7 ratings),IT & Software,,Microsoft AZ-900
Simulado para a prova AZ-900,www.udemy.com/course/simulado-para-a-prova-az-900/,Eduardo Popovici,44.99,11.39,4.1(45 ratings),IT & Software,,Microsoft AZ-900
Microsoft Azure Fundamentals AZ-900 Real Exam | 2020,www.udemy.com/course/microsoft-azure-fundamentals-az-900-real-exam-2020/,IT Exams,24.99,11.39,3.9(12 ratings),IT & Software,,Microsoft AZ-900
Guía de Referencia AZ-900: Conceptos de la nube,www.udemy.com/course/az-900-espanol-1/,Héctor Uriel Pérez,19.99,11.39,0.0(0 ratings),IT & Software,,Microsoft AZ-900
