Course,URL,instructor,Price (full),Price (discount),Rank
Fit Over 40: Back To Fitness Workout & Nutrition Programme,www.udemy.com/course/fit-over-40-back-to-fitness-workout-nutrition-programme/,James Davis,69.99,11.39,4.5(1 rating)
4-Week Agility Training Program,www.udemy.com/course/4-week-agility-training-program/,Nicholas Romanov,34.99,11.39,4.5(6 ratings)
50 Minute Home Workout with S-HUBme. Flexibility and Splits.,www.udemy.com/course/50-minute-home-workout-with-s-hubme/,Lisa Andreeva,19.99,11.39,4.9(5 ratings)
Fitness Kickboxing For Weight Loss and Health - Home Workout,www.udemy.com/course/fitness-kickboxing-for-weight-loss-and-health-2019-new-years/,Taylor Kelley,199.99,11.39,4.9(4 ratings)
"Be Your Own Personal Trainer (""BYOPT"") - For Men",www.udemy.com/course/be-your-own-personal-trainer-byopt-for-men/,Michael Applebaum,49.99,11.39,4.6(18 ratings)
STOP DOING CRUNCHES || 5 Exercises for a 6 pack |,www.udemy.com/course/jumpstart-your-core/,Luis Suarez,24.99,18.99,4.3(3 ratings)
Health & Fitness: The Guide To Achieve REAL Results!,www.udemy.com/course/health-fitness-the-guide-to-achieve-real-results/,Ben Detwiler,99.99,11.39,4.6(58 ratings)
How To Do A Backflip - The Ultimate Guide For Beginners,www.udemy.com/course/how-to-do-a-backflip-the-ultimate-guide-for-all-levels/,Inauen Thomas,19.99,11.39,5.0(1 rating)
100 Lectures and 8 Hours of Fitness/Weight Loss Blueprint,www.udemy.com/course/100-fitness-weight-loss-nutrition-wellness-lectures/,Jeremy Belter,199.99,11.39,4.2(14 ratings)
Fit & Lean - Body Transformation,www.udemy.com/course/fit-and-lean/,Mitaka Di,59.99,11.99,4.5(26 ratings)
Quickstart Online Marketing Guide for Fitness Professionals,www.udemy.com/course/quickstart-online-marketing-guide-for-health-and-fitness-professionals/,Emma Haughton,24.99,11.99,4.9(12 ratings)
The Optimum Fitness System for Fitness and Rehab Specialists,www.udemy.com/course/optimum-fitness-system/,Travis Hyer,94.99,11.99,4.9(14 ratings)
Undisclosed Instant Strength Techniques,www.udemy.com/course/undisclosed-instant-strength/,Aaron Ellis,34.99,11.99,4.8(3 ratings)
Four Week High Intensity Workout Program,www.udemy.com/course/maestreandknightfourweektrainingprogram/,Jeremiah Maestre,19.99,11.99,4.9(10 ratings)
Workout - Gym ball - Physio,www.udemy.com/course/workout-gym-ball-with-physiotherapist/,Marky Matouskova,34.99,11.99,4.9(3 ratings)
Real Pilates 7 Day Core Strength & Stamina Transformation ,www.udemy.com/course/real-pilates-7-day-core-strength-stamina-transformation/,Alycea Ungaro,19.99,11.99,4.7(11 ratings)
Create Your Science-Based Exercise Program,www.udemy.com/course/create-your-science-based-exercise-program/,Dr. Sarah Zaldivar,104.99,11.99,4.3(11 ratings)
ULTIMATE Fitness workout - Primal Body Movements!,www.udemy.com/course/primal-body-movements-ultimate-fitness-workout/,Samarthya Bhatnagar,19.99,11.99,3.8(4 ratings)
Earn a Lean Physique: A Training and Nutrition Plan,www.udemy.com/course/earn-a-lean-physique-a-complete-training-and-nutrition-plan/,"Jen Puzio, Certified Personal Trainer",49.99,11.99,4.5(66 ratings)
High Intensity Interval Training: Crossfit Is Based On This,www.udemy.com/course/high-intensity-interval-training-hiit/,Joey Zanca,19.99,11.99,4.2(23 ratings)
Steps to Become an In-Demand Fitness Professional,www.udemy.com/course/steps-to-become-an-in-demand-fitness-professional/,Marcelo Vazquez,19.99,11.99,4.8(9 ratings)
Strength and hypertrophy training explained,www.udemy.com/course/strength-and-hypertrophy-training-explained/,Keith Brady,29.99,11.99,0.0(0 ratings)
BEST Body Building Exercises To Building A Better Body FAST!,www.udemy.com/course/weekly-wednesday-workout/,Tim Ernst,94.99,11.99,3.4(24 ratings)
KravHIIT: Tactical Fitness Vol. 1,www.udemy.com/course/kravhiit-tactical-fitness-vol-1/,Thomas Griffin,44.99,11.99,0.0(0 ratings)
Fit and Fierce body with celebrity trainer Sima,www.udemy.com/course/fit-and-fierce-body-with-sima/,Sima Cohen,59.99,11.99,0.0(0 ratings)
Working With Seniors In Health and Fitness Related Fields,www.udemy.com/course/working-with-seniors-in-health-and-fitness-related-fields/,Annette Radvansky,29.99,11.39,4.6(10 ratings)
NLC Functional Fitness Coach - Level 1,www.udemy.com/course/nlc-functional-fitness-coach-level-1/,Bronson Dant,0,49.99,4.3(2 ratings)
Build Your Back with Pull-Ups,www.udemy.com/course/build-your-back-with-pull-ups/,Jonathan Chant,19.99,11.39,3.9(3 ratings)
Fitness for Women,www.udemy.com/course/fitness-for-women/,Julie Ann Price,54.99,11.39,4.6(8 ratings)
Vertical Jump Training,www.udemy.com/course/vertical-jump-training/,Kaleb Marquis,39.99,11.39,4.0(3 ratings)
The Fitness Course - Body Weight Exercise Course,www.udemy.com/course/fitness-made-easy/,Gavin Hain,34.99,11.39,0.0(0 ratings)
Fitness Basics: Creating a Workout Program - Beginner Course,www.udemy.com/course/create-a-workout-program/,Jose de Alba,29.99,11.39,4.5(18 ratings)
HIIT Bosu Workout- Burn Fat and Get Fit with Bosu,www.udemy.com/course/hiit-bosu-workout-burn-fat-and-get-fit-with-bosu/,Anna Ramirez,19.99,11.39,4.8(4 ratings)
The Simple Beginner Chair Workouts for You,www.udemy.com/course/chair-workouts-for-baby-boomer-and-other-fitness-beginners/,Jeremy Belter,199.99,11.39,4.5(3 ratings)
Home Fitness for a Fit Life,www.udemy.com/course/home-fitness-for-a-fit-life/,Fitness  Coaches,19.99,11.39,4.2(35 ratings)
Beat gym boredom! Get fit with 15-minute Dumbbell Workouts,www.udemy.com/course/beat-gym-boredom-get-fit-with-15-minute-dumbbell-workouts/,Kersten Kimura,24.99,11.39,0.0(0 ratings)
20-minute HIIT metabolism boost workouts,www.udemy.com/course/20-minute-hiit-metabolism-boost-workouts/,Squat & Twirl,29.99,11.39,4.5(1 rating)
Reduce Aches & Pains with Full Body Mobility Routine,www.udemy.com/course/reduce-aches-pains-with-full-body-mobility-routine/,Jaspar Vowden,29.99,11.39,0.0(0 ratings)
The 27 Day Wellness Challenge for Improved Wellness,www.udemy.com/course/27daywellness/,Jeremy Belter,199.99,11.39,4.4(9 ratings)
The fit club - 3D bodyweight and weight training exercises,www.udemy.com/course/essential-bodyweight-exercises-and-workouts/,Damjan Linic,29.99,18.99,5.0(1 rating)
Build your perfect diet and training plan,www.udemy.com/course/lose-your-weightgain-muscles-and-make-your-training-program/,Marko Živković,199.99,11.39,5.0(1 rating)
Beginner's Guide to Getting Fit Learning Tahitian Ote'a,www.udemy.com/course/getfittahitian/,Koa Koki,19.99,11.39,4.7(4 ratings)
How to Create the Perfect Group Fitness Class for All Levels,www.udemy.com/course/how-to-create-the-perfect-group-fitness-class-for-all-levels/,Andrew Hiob,24.99,11.39,4.4(5 ratings)
